year,driverId,constructorId
1972,278,82
1972,280,83
1972,296,84
1971,347,1
1971,320,1
1971,262,1
1971,304,1
1971,322,1
1971,288,1
1971,224,180
1971,317,180
1971,293,180
1971,353,180
1971,333,199
1971,330,199
1971,238,199
1971,340,200
1971,339,200
1971,349,200
1971,238,200
1971,280,200
1971,342,200
1971,182,200
1971,330,200
1971,348,200
1971,329,200
1971,197,200
1971,317,201
1971,224,201
1971,338,201
1971,327,25
1971,328,25
1971,309,25
1971,354,34
1971,314,34
1971,289,34
1971,334,34
1971,293,34
1971,223,6
1971,207,6
1971,235,6
1971,321,63
1971,305,63
1971,298,63
1971,312,63
1971,341,63
1971,344,63
1971,243,63
1971,346,66
1971,337,66
1971,320,66
1971,355,66
1971,345,66
1971,307,66
1971,350,66
1971,352,66
1971,278,82
1971,306,82
1971,351,85
1970,341,187
1970,304,187
1970,320,187
1970,364,187
1970,360,187
1970,347,187
1970,330,198
1970,333,198
1970,328,25
1970,317,32
1970,353,32
1970,357,32
1970,339,32
1970,224,32
1970,293,32
1970,340,32
1970,289,32
1970,358,32
1970,362,34
1970,356,34
1970,366,34
1970,243,34
1970,321,34
1970,207,37
1970,327,37
1970,328,37
1970,346,37
1970,238,37
1970,278,37
1970,359,37
1970,365,37
1970,223,6
1970,235,6
1970,363,6
1970,321,63
1970,341,63
1970,345,66
1970,367,66
1970,262,66
1970,352,66
1970,280,82
1970,306,82
1970,351,85
1970,312,86
1970,314,86
1970,361,86
1969,350,167
1969,370,180
1969,347,180
1969,346,180
1969,289,180
1969,340,180
1969,357,180
1969,358,180
1969,353,180
1969,207,180
1969,361,182
1969,356,182
1969,351,182
1969,235,182
1969,372,183
1969,306,187
1969,350,187
1969,304,187
1969,321,187
1969,369,187
1969,360,187
1969,371,189
1969,362,191
1969,368,191
1969,328,196
1969,306,196
1969,359,196
1969,262,197
1969,278,6
1969,345,6
1969,343,66
1969,352,66
1969,345,66
1969,341,66
1969,262,66
1968,360,1
1968,304,1
1968,341,11
1968,377,11
1968,347,11
1968,322,11
1968,347,167
1968,346,167
1968,312,167
1968,369,170
1968,289,180
1968,373,180
1968,343,180
1968,262,180
1968,207,180
1968,382,180
1968,346,180
1968,334,183
1968,304,187
1968,360,187
1968,364,187
1968,364,190
1968,351,191
1968,356,191
1968,358,191
1968,340,191
1968,293,191
1968,379,191
1968,364,191
1968,347,194
1968,304,194
1968,378,195
1968,375,195
1968,350,195
1968,376,195
1968,312,195
1968,359,195
1968,359,196
1968,328,196
1968,306,196
1968,365,26
1968,321,6
1968,333,6
1968,278,6
1968,235,6
1968,361,66
1968,345,66
1968,380,66
1968,381,66
1968,374,66
1968,370,66
1968,280,82
1968,306,82
1968,368,89
1967,341,11
1967,347,167
1967,358,167
1967,390,167
1967,346,167
1967,389,167
1967,345,167
1967,370,167
1967,235,167
1967,393,170
1967,340,170
1967,373,172
1967,388,176
1967,289,176
1967,361,176
1967,382,176
1967,373,176
1967,392,176
1967,326,180
1967,373,180
